日期,时间,时间戳,27币涨跌幅总和(%)
2026-01-09,14:00,1767938040,0.0000
2026-01-09,14:30,1767939840,0.0000
2026-01-09,15:00,1767941640,0.0000
2026-01-09,15:30,1767943440,0.0000
2026-01-09,16:00,1767945240,0.0000
2026-01-09,16:30,1767947040,0.0000
2026-01-09,17:00,1767948840,0.0000
2026-01-09,17:30,1767950640,0.0000
2026-01-09,18:00,1767952440,0.0000
2026-01-09,18:30,1767954240,0.0000
2026-01-09,19:00,1767956040,0.0000
2026-01-09,19:30,1767957840,0.0000
2026-01-09,20:00,1767959640,0.0000
2026-01-09,20:30,1767961440,0.0000
2026-01-09,21:00,1767963240,0.0000
2026-01-09,21:30,1767965040,0.0000
2026-01-09,22:00,1767966840,0.0000
2026-01-09,22:30,1767968640,0.0000
2026-01-09,23:00,1767970440,0.0000
2026-01-09,23:30,1767972240,0.0000
2026-01-10,00:00,1767974040,0.0000
2026-01-10,00:30,1767975840,0.0000
2026-01-10,01:00,1767977640,0.0000
2026-01-10,01:30,1767979440,0.0000
2026-01-10,02:00,1767981240,0.0000
2026-01-10,02:30,1767983040,0.0000
2026-01-10,03:00,1767984840,0.0000
2026-01-10,03:30,1767986640,0.0000
2026-01-10,04:00,1767988440,0.0000
2026-01-10,04:30,1767990240,0.0000
2026-01-10,05:00,1767992040,0.0000
2026-01-10,05:30,1767993840,0.0000
2026-01-10,06:00,1767995640,0.0000
2026-01-10,06:30,1767997440,0.0000
2026-01-10,07:00,1767999240,0.0000
2026-01-10,07:30,1768001040,0.0000
2026-01-10,08:00,1768002840,0.0000
2026-01-10,08:30,1768004640,0.0000
2026-01-10,09:00,1768006440,0.0000
2026-01-10,09:30,1768008240,0.0000
2026-01-10,10:00,1768010040,0.0000
2026-01-10,10:30,1768011840,0.0000
2026-01-10,11:00,1768013640,0.0000
2026-01-10,11:30,1768015440,0.0000
2026-01-10,12:00,1768017240,0.0000
2026-01-10,12:30,1768019040,0.0000
2026-01-10,13:00,1768020840,0.0000
2026-01-10,13:30,1768022640,0.0000
2026-01-10,14:00,1768024440,0.0000
2026-01-10,14:30,1768026240,0.0000
2026-01-10,15:00,1768028040,0.0000
2026-01-10,15:30,1768029840,0.0000
2026-01-10,16:00,1768031640,0.0000
2026-01-10,16:30,1768033440,0.0000
2026-01-10,17:00,1768035240,0.0000
2026-01-10,17:30,1768037040,0.0000
2026-01-10,18:00,1768038840,0.0000
2026-01-10,18:30,1768040640,0.0000
2026-01-10,19:00,1768042440,0.0000
2026-01-10,19:30,1768044240,0.0000
2026-01-10,20:00,1768046040,0.0000
2026-01-10,20:30,1768047840,0.0000
2026-01-10,21:00,1768049640,0.0000
2026-01-10,21:30,1768051440,0.0000
2026-01-10,22:00,1768053240,0.0000
2026-01-10,22:30,1768055040,0.0000
2026-01-10,23:00,1768056840,0.0000
2026-01-10,23:30,1768058640,0.0000
2026-01-11,00:00,1768060440,0.0000
2026-01-11,00:30,1768062240,0.0000
2026-01-11,01:00,1768064040,0.0000
2026-01-11,01:30,1768065840,0.0000
2026-01-11,02:00,1768067640,0.0000
2026-01-11,02:30,1768069440,0.0000
2026-01-11,03:00,1768071240,0.0000
2026-01-11,03:30,1768073040,0.0000
2026-01-11,04:00,1768074840,0.0000
2026-01-11,04:30,1768076640,0.0000
2026-01-11,05:00,1768078440,0.0000
2026-01-11,05:30,1768080240,0.0000
2026-01-11,06:00,1768082040,0.0000
2026-01-11,06:30,1768083840,0.0000
2026-01-11,07:00,1768085640,0.0000
2026-01-11,07:30,1768087440,0.0000
2026-01-11,08:00,1768089240,0.0000
2026-01-11,08:30,1768091040,0.0000
2026-01-11,09:00,1768092840,0.0000
2026-01-11,09:30,1768094640,0.0000
2026-01-11,10:00,1768096440,0.0000
2026-01-11,10:30,1768098240,0.0000
2026-01-11,11:00,1768100040,0.0000
2026-01-11,11:30,1768101840,0.0000
2026-01-11,12:00,1768103640,0.0000
2026-01-11,12:30,1768105440,0.0000
2026-01-11,13:00,1768107240,0.0000
2026-01-11,13:30,1768109040,0.0000
2026-01-11,14:00,1768110840,0.0000
2026-01-11,14:30,1768112640,0.0000
2026-01-11,15:00,1768114440,0.0000
2026-01-11,15:30,1768116240,0.0000
2026-01-11,16:00,1768118040,0.0000
2026-01-11,16:30,1768119840,0.0000
2026-01-11,17:00,1768121640,0.0000
2026-01-11,17:30,1768123440,0.0000
2026-01-11,18:00,1768125240,0.0000
2026-01-11,18:30,1768127040,0.0000
2026-01-11,19:00,1768128840,0.0000
2026-01-11,19:30,1768130640,0.0000
2026-01-11,20:00,1768132440,0.0000
2026-01-11,20:30,1768134240,0.0000
2026-01-11,21:00,1768136040,0.0000
2026-01-11,21:30,1768137840,0.0000
2026-01-11,22:00,1768139640,0.0000
2026-01-11,22:30,1768141440,0.0000
2026-01-11,23:00,1768143240,0.0000
2026-01-11,23:30,1768145040,0.0000
2026-01-12,00:00,1768146840,0.0000
2026-01-12,00:30,1768148640,0.0000
2026-01-12,01:00,1768150440,0.0000
2026-01-12,01:30,1768152240,0.0000
2026-01-12,02:00,1768154040,0.0000
2026-01-12,02:30,1768155840,0.0000
2026-01-12,03:00,1768157640,0.0000
2026-01-12,03:30,1768159440,0.0000
2026-01-12,04:00,1768161240,0.0000
2026-01-12,04:30,1768163040,0.0000
2026-01-12,05:00,1768164840,0.0000
2026-01-12,05:30,1768166640,0.0000
2026-01-12,06:00,1768168440,0.0000
2026-01-12,06:30,1768170240,0.0000
2026-01-12,07:00,1768172040,0.0000
2026-01-12,07:30,1768173840,0.0000
2026-01-12,08:00,1768175640,0.0000
2026-01-12,08:30,1768177440,0.0000
2026-01-12,09:00,1768179240,0.0000
2026-01-12,09:30,1768181040,0.0000
2026-01-12,10:00,1768182840,0.0000
2026-01-12,10:30,1768184640,0.0000
2026-01-12,11:00,1768186440,0.0000
2026-01-12,11:30,1768188240,0.0000
2026-01-12,12:00,1768190040,0.0000
2026-01-12,12:30,1768191840,0.0000
2026-01-12,13:00,1768193640,0.0000
2026-01-12,13:30,1768195440,0.0000
2026-01-12,14:00,1768197240,0.0000
2026-01-12,14:30,1768199040,0.0000
2026-01-12,15:00,1768200840,0.0000
2026-01-12,15:30,1768202640,0.0000
2026-01-12,16:00,1768204440,0.0000
2026-01-12,16:30,1768206240,0.0000
2026-01-12,17:00,1768208040,0.0000
2026-01-12,17:30,1768209840,0.0000
2026-01-12,18:00,1768211640,0.0000
2026-01-12,18:30,1768213440,0.0000
2026-01-12,19:00,1768215240,0.0000
2026-01-12,19:30,1768217040,0.0000
2026-01-12,20:00,1768218840,0.0000
2026-01-12,20:30,1768220640,0.0000
2026-01-12,21:00,1768222440,0.0000
2026-01-12,21:30,1768224240,0.0000
2026-01-12,22:00,1768226040,0.0000
2026-01-12,22:30,1768227840,0.0000
2026-01-12,23:00,1768229640,0.0000
