日期,时间,时间戳,币种,基准价格(00:00),当前价格,涨跌幅(%)
2026-01-03,02:00:00,1767405600,HBAR,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,LDO,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,LINK,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,LTC,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,NEAR,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,SOL,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,STX,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,SUI,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,TAO,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,TON,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,TRX,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,UNI,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,XLM,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,XRP,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,AAVE,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,APT,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,BCH,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,BNB,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,BTC,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,CFX,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,CRO,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,CRV,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,DOGE,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,DOT,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,ETC,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,ETH,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,FIL,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,HBAR,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,LDO,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,LINK,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,LTC,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,NEAR,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,SOL,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,STX,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,SUI,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,TAO,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,TON,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,TRX,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,UNI,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,XLM,0.00000000,0.00000000,0.0000
2026-01-03,02:30:00,1767407400,XRP,0.00000000,0.00000000,0.0000
